ID,OwnIQ,FostIQ
1,68,63
2,71,76
3,73,77
4,75,72
5,78,71
6,79,75
7,81,86
8,82,82
9,82,93
10,83,86
11,85,83
12,86,94
13,87,93
14,87,97
15,89,102
16,90,80
17,91,82
18,91,88
19,92,91
20,92,96
21,93,87
22,93,99
23,93,99
24,94,94
25,95,96
26,96,93
27,96,109
28,97,92
29,97,95
30,97,112
31,97,113
32,99,105
33,100,88
34,101,115
35,102,104
36,103,106
37,105,109
38,106,107
39,106,108
40,107,108
41,107,101
42,108,95
43,111,98
44,112,116
45,114,104
46,114,125
47,115,108
48,116,116
49,118,116
50,121,118
51,125,128
52,129,117
53,131,132
