GEO_NAME,areatype,pop_size,division,region,commute,hh_chil,edu_hs,edu_coll,income,income2,no_car,female,age,senior,white,black,indian,asian,hawaiian,other,hispanic
"Aberdeen, WA  Micro Area",1,71797,1,1,23.9,25.1,84.4,12.5,36345,36.345,7.2,49.7,40.4,15.3,91.3,1.4,6.6,2,.3,1.6,7.9
"Abilene, TX  Metro Area",2,160266,7,4,16.8,29.9,84.1,20.7,42931,42.931,6.4,50.8,33.2,13.3,82.2,7.6,1.3,1.9,-999999999,9,20.7
"Adrian, MI  Micro Area",1,99837,4,2,25.7,28.8,86.9,17.2,45640,45.64,5.1,50.1,40.1,14.2,94.5,2.8,1.3,.8,-999999999,2.3,7.6
"Aguadilla-Isabela-San Sebastián, PR  Metro Area",2,342495,10,5,24.1, , , ,13470,13.47,19.4,50.2,36.7,14.1,90.1,5.5,-999999999,-999999999,-999999999,6,97.6
"Akron, OH  Metro Area",2,699935,4,2,23.2,27,89.9,27.4,47482,47.482,8.3,51.8,39.3,13.9,85.5,12.7,.5,2.1,-999999999,.5,1.3
"Albany-Lebanon, OR  Micro Area",1,116584,1,1,21.6,31,88.7,15.7,47669,47.669,3.8,50.7,39.8,15.6,94,.7,2.1,1.5,.9,3.1,6.5
"Albany-Schenectady-Troy, NY  Metro Area",2,857592,5,3,22,26.5,90.4,33.2,57677,57.677,9.2,51,39.5,14,88.3,8.1,1,3.5,-999999999,1.4,3.5
"Albany, GA  Metro Area",2,164238,9,4,20.5,26.1,77.4,17.6,36218,36.218,7.6,52.4,34.4,12,44.8,53.9,.8,1.3,-999999999,.6,1.5
"Albertville, AL  Micro Area",1,90399,8,4,23,30.2,72.2,13.9,37284,37.284,4.6,50.3,37.3,14.5,96.4,2.7,1.9,.8,-999999999,1.3,12.2
"Albuquerque, NM  Metro Area",2,856216,2,1,23.3,31.1,86.4,29.4,46824,46.824,5.3,50.8,35.4,12.2,72.2,3.6,7.3,2.5,.2,17.6,45.5
"Alexandria, LA  Metro Area",2,154101,7,4,21.4,30.2,82.6,18.9,39530,39.53,6.7,51.5,37.7,13.4,69.3,29.7,1.1,1.2,-999999999,.7,2.4
"Allegan, MI  Micro Area",1,113449,4,2,24.7,34.5,90.3,19.6,50316,50.316,3.4,50.2,38.2,12.9,93.9,1.7,1,1,-999999999,4.1,6.7
"Allentown-Bethlehem-Easton, PA-NJ  Metro Area",2,816012,5,3,26.7,29.8,86.7,25.9,56802,56.802,7.3,51.2,40.2,15.1,88.2,5.6,.5,2.8,-999999999,4.7,11.9
"Altoona, PA  Metro Area",2,126122,5,3,19,25.2,92,19,38455,38.455,8.9,52,42.1,17.9,97.3,2,.4,.7,-999999999,.2,.8
"Amarillo, TX  Metro Area",2,245712,7,4,17.8,32.6,82.5,22,43373,43.373,5.3,50.5,33.2,11.3,87,7,1.7,2.5,-999999999,4.7,24.9
"Ames, IA  Metro Area",2,87214,3,2,17.5,21.6,96.3,45,45516,45.516,6.4,48.5,25,10.3,91.8,3,-999999999,6.2,-999999999,.3,2.2
"Anchorage, AK  Metro Area",2,374553,10,5,20.5,35,92.3,29.6,72712,72.712,5.1,49.3,32.5,7.4,79.8,6.6,10.5,7.5,1.4,2.5,7.4
"Anderson, IN  Metro Area",2,131417,4,2,24,27,86.6,16,41741,41.741,6.7,49.8,39.3,15.9,91.8,7.8,2,.7,-999999999,1.3,2.6
"Anderson, SC  Metro Area",2,184901,9,4,22.7,28.3,82.3,19.8,41246,41.246,5.8,51.5,39.3,14.9,82.1,17.1,.5,1,-999999999,.9,2.3
"Ann Arbor, MI  Metro Area",2,347563,4,2,23.7,28.4,93.9,49.5,54603,54.603,7,50.4,33,9.6,79.9,13.6,1.2,8.6,-999999999,.7,3.5
"Anniston-Oxford, AL  Metro Area",2,114081,8,4,21.1,24.8,77.8,17,36527,36.527,7.9,52.3,38.6,15.1,77.4,20.6,.9,.7,-999999999,1.9,2.6
"Appleton, WI  Metro Area",2,221894,4,2,19.6,32.8,92.4,24.7,55669,55.669,5.4,49.8,37.6,11.9,94.4,1.3,1.7,2.9,-999999999,.6,2.8
