id,wrkstat,marital,agewed,sibs,childs,age,birthmo,zodiac,educ,degree,padeg,madeg,sex,race,rincom91
1,1,3,20,3,1,43,5,2,11,1,7,0,1,1,17
2,1,5,0,2,0,44,8,6,16,3,0,0,1,2,18
3,1,3,25,2,0,43,2,11,16,3,1,0,2,1,18
4,2,5,0,4,0,45,99,99,15,1,1,8,2,1,22
7,1,1,22,2,2,55,10,7,12,1,0,0,2,1,15
9,1,3,22,1,2,31,7,4,18,4,1,1,1,1,20
10,2,5,0,1,0,54,3,12,18,4,0,1,2,1,2
11,1,5,0,1,0,29,4,2,18,4,0,0,2,1,16
12,1,5,0,0,0,23,10,8,15,1,7,2,2,1,3
13,1,1,31,0,1,61,99,99,12,1,1,1,2,1,8
15,4,5,0,4,3,33,3,12,10,0,8,8,2,3,9
16,1,5,0,0,1,36,11,8,14,1,7,1,2,2,10
18,1,1,22,9,0,55,1,10,15,1,1,0,1,3,22
19,1,1,32,1,1,55,9,7,16,3,1,0,2,1,14
20,1,1,24,2,2,34,4,2,16,3,0,1,1,1,21
21,3,1,24,5,2,36,6,3,14,2,3,3,2,1,15
22,2,1,23,0,3,44,8,5,18,3,1,1,2,1,18
24,1,5,0,5,1,32,7,5,16,3,3,3,1,3,11
25,2,1,32,7,4,37,9,6,5,0,0,0,1,3,4
27,1,1,40,5,0,49,9,6,16,3,3,3,2,3,15
28,1,3,16,6,2,45,11,9,16,3,1,7,2,3,20
29,1,5,0,2,0,36,4,2,18,3,1,4,2,1,9
30,2,5,0,5,0,23,3,1,16,1,7,3,2,2,5
31,1,5,0,1,0,29,5,2,16,4,3,3,1,1,19
32,1,5,0,3,1,30,2,11,14,2,1,0,2,2,16
33,1,5,0,8,1,40,7,4,16,3,0,1,2,2,16
34,1,5,0,8,2,26,8,6,11,0,1,1,2,1,11
36,4,1,22,11,1,53,10,8,14,1,1,1,2,3,10
37,2,1,19,2,0,20,12,9,12,1,0,0,2,3,2
38,1,3,24,4,2,63,7,4,12,1,0,0,2,1,9
39,2,1,28,7,3,41,9,6,6,0,0,0,1,3,16
40,1,3,19,3,1,33,8,5,14,1,2,2,2,1,17
41,1,1,24,4,2,34,1,10,12,1,0,8,1,3,12
42,1,1,20,5,4,61,7,4,16,3,3,3,2,3,13
43,2,1,26,2,0,29,6,3,18,4,3,0,2,1,18
44,1,5,0,4,0,45,2,11,13,1,1,1,2,1,20
45,1,5,0,2,0,31,3,1,14,1,0,0,1,1,18
47,1,1,26,1,1,28,4,1,18,4,0,0,1,1,17
48,1,3,21,2,0,34,7,5,18,4,1,1,2,1,18
49,1,3,21,2,2,45,4,1,13,1,1,1,2,1,18
50,1,3,21,0,0,35,7,4,16,3,4,1,2,1,19
51,1,5,0,1,0,48,6,3,16,3,8,1,1,1,19
53,1,3,17,21,8,39,3,12,19,4,3,4,1,2,16
